time,open,high,low,close,volume
2017-08-17 04:00:00.000,301.13000000,303.28000000,298.00000000,303.10000000,503.34123000
2017-08-17 06:00:00.000,302.40000000,307.96000000,301.90000000,307.96000000,1058.61182000
2017-08-17 08:00:00.000,307.95000000,312.00000000,307.00000000,310.00000000,620.02908000
2017-08-17 10:00:00.000,310.00000000,310.97000000,307.78000000,308.95000000,557.68180000
2017-08-17 12:00:00.000,308.95000000,310.51000000,307.77000000,309.40000000,712.37320000
2017-08-17 14:00:00.000,307.77000000,308.76000000,303.56000000,307.06000000,1169.67947000
2017-08-17 16:00:00.000,307.74000000,312.18000000,298.21000000,308.33000000,788.75933000
2017-08-17 18:00:00.000,308.33000000,311.53000000,298.96000000,301.60000000,419.29259000
2017-08-17 20:00:00.000,301.60000000,309.40000000,299.01000000,307.44000000,602.96777000
2017-08-17 22:00:00.000,308.57000000,310.85000000,302.00000000,302.00000000,597.97405000
2017-08-18 00:00:00.000,302.00000000,306.20000000,295.19000000,298.73000000,875.68219000
2017-08-18 02:00:00.000,298.73000000,306.47000000,298.73000000,301.40000000,814.90100000
2017-08-18 04:00:00.000,301.40000000,305.92000000,298.41000000,304.70000000,969.67152000
2017-08-18 06:00:00.000,304.70000000,309.49000000,303.21000000,306.24000000,762.85464000
2017-08-18 08:00:00.000,306.24000000,310.85000000,303.22000000,304.71000000,619.29683000
2017-08-18 10:00:00.000,304.73000000,311.79000000,304.73000000,307.78000000,593.71600000
2017-08-18 12:00:00.000,307.78000000,310.29000000,301.30000000,303.22000000,745.36249000
2017-08-18 14:00:00.000,303.22000000,303.22000000,296.32000000,298.80000000,613.63222000
2017-08-18 16:00:00.000,298.80000000,301.11000000,293.18000000,295.53000000,763.08611000
2017-08-18 18:00:00.000,295.53000000,298.25000000,287.37000000,293.83000000,857.62888000
2017-08-18 20:00:00.000,295.46000000,295.46000000,283.94000000,286.30000000,1350.25049000
2017-08-18 22:00:00.000,288.01000000,294.19000000,284.02000000,293.96000000,571.76409000
2017-08-19 00:00:00.000,293.31000000,298.20000000,293.31000000,297.19000000,127.96527000
2017-08-19 02:00:00.000,297.19000000,299.84000000,292.83000000,293.22000000,154.22770000
2017-08-19 04:00:00.000,294.69000000,299.90000000,291.87000000,293.23000000,78.00584000
2017-08-19 06:00:00.000,293.69000000,295.56000000,287.01000000,290.16000000,157.28626000
2017-08-19 08:00:00.000,290.16000000,293.17000000,287.00000000,290.30000000,377.29996000
2017-08-19 10:00:00.000,291.36000000,292.24000000,278.00000000,282.58000000,761.73049000
2017-08-19 12:00:00.000,281.39000000,290.85000000,279.56000000,286.36000000,187.26932000
2017-08-19 14:00:00.000,285.50000000,288.64000000,283.00000000,288.64000000,101.03062000
2017-08-19 16:00:00.000,288.64000000,293.15000000,284.16000000,293.15000000,73.07875000
2017-08-19 18:00:00.000,294.33000000,295.00000000,288.95000000,293.31000000,54.30714000
2017-08-19 20:00:00.000,290.60000000,293.25000000,288.80000000,293.25000000,38.83774000
2017-08-19 22:00:00.000,293.25000000,294.90000000,290.91000000,290.91000000,35.15864000
2017-08-20 00:00:00.000,289.41000000,292.42000000,285.96000000,289.94000000,32.79345000
2017-08-20 02:00:00.000,289.94000000,292.42000000,287.66000000,292.41000000,35.60747000
